model,rag,sample_id,is_impossible,gold_question,gold_answer,gen_question,gen_answer,inf_time_sec,rougeL,bleu,chrf,bertscore_f1,cosine_sim,a_in_ctx_ratio,answer_exact_match,answer_rougeL
ViT5-base,non-RAG,10,False,Canada tiếp giáp với các quốc gia nào bằng biên giới trên cạn?,Hoa Kỳ liền kề ở phía nam và bang Alaska của Hoa Kỳ ở phía tây bắc,question: Quốc gia nào có diện tích lớn thứ hai trên thế giới? answer: Nga,question: Quốc gia nào có diện tích lớn thứ hai trên thế giới? answer: Nga,1.2668,0.3478,0.0,27.984,0.7019,0.4827,0.0,0.0,0.1395
ViT5-base,non-RAG,11,False,Năm 2011 thì tăng trưởng GDP là bao nhiêu?,"3,11 tỷ USD","question: Xuất khẩu của Nouvelle-Calédonie đạt bao nhiêu tỷ USD vào năm 2011? answer: 2,11 tỷ USD","question: Xuất khẩu của Nouvelle-Calédonie đạt bao nhiêu tỷ USD vào năm 2011? answer: 2,11 tỷ USD",2.0496,0.2051,0.0,27.1033,0.7178,0.4781,0.0,0.0,0.2
ViT5-base,non-RAG,12,False,Các lãnh chúa nắm thứ gì trong tay bắt mọi người phải nghe theo?,mọi quyền quyết định tôn giáo nào thần dân của họ phải theo,question: Chức năng của Hội đồng Đế quốc là gì? answer: tham khảo và trang trí,question: Chức năng của Hội đồng Đế quốc là gì? answer: tham khảo và trang trí,1.5164,0.2326,0.0,14.7528,0.6605,0.4582,0.0,0.0,0.2273
ViT5-base,non-RAG,13,False,Nêu đặc trưng xã hội của người bản địa Canada?,"Các đặc trưng của các xã hội Thổ dân Canada gồm có các khu định cư thường xuyên, nông nghiệp, kết cấu phân tầng xã hội phức tạp, và các mạng lưới mậu dịch",question: Các di chỉ khảo cổ học người Da đỏ cổ đại tại đâu? answer: bình nguyên Old Crow và các động Bluefish,question: Các di chỉ khảo cổ học người Da đỏ cổ đại tại đâu? answer: bình nguyên Old Crow và các động Bluefish,1.973,0.3043,0.0,14.3063,0.6881,0.4018,0.0,0.0,0.2955
ViT5-base,non-RAG,14,False,Mục đích của thần học là gì?,"nhắm tới thiết lập và đào sâu những kinh nghiệm và khái niệm, sử dụng những điều đó để đi tìm bằng chứng cho việc các hữu thể tồn tại và phát triển như thế nào, cuối cùng là đi đến việc khám phá những điều huyền bí","question: Richchard Hooker cho rằng thần học là khoa học về những điều gì? answer: những tranh luận, lập luận liên quan đến Thiên Chúa","question: Richchard Hooker cho rằng thần học là khoa học về những điều gì? answer: những tranh luận, lập luận liên quan đến Thiên Chúa",2.0073,0.2449,0.0,23.7728,0.7173,0.5489,0.0,0.0,0.2105
ViT5-base,non-RAG,15,False,Gà tây được xem như món ăn chính vào dịp lễ nào ở Mỹ?,Tạ ơn hay Giáng sinh,question: Món ăn ưa thích của gà tây là gì? answer: cỏ,question: Món ăn ưa thích của gà tây là gì? answer: cỏ,1.3513,0.2857,0.0,15.0118,0.6701,0.4911,0.0,0.0,0.0909
ViT5-base,non-RAG,16,False,Kết quả của cuộc bầu cử tổng thống năm 1936 là gì?,"Roosevelt và Garner chiến thắng với tỉ lệ 60,8% phiếu bầu phổ thông và chiến thắng gần như ở tất cả các tiểu bang, trừ Maine và Vermont","question: Liên minh cử tri gồm những ai? answer: các nông gia nhỏ, cư dân miền Nam Hoa Kỳ, người công giáo La Mã, các cỗ máy thành phố lớn, các liên đoàn lao động, người Mỹ gốc châu Phi ở miền bắc, người Do Thái, giới trí thức và người theo chủ nghĩa tự do chính trị","question: Liên minh cử tri gồm những ai? answer: các nông gia nhỏ, cư dân miền Nam Hoa Kỳ, người công giáo La Mã, các cỗ máy thành phố lớn, các liên đoàn lao động, người Mỹ gốc châu Phi ở miền bắc, người Do Thái, giới trí thức và người theo chủ nghĩa tự do chính trị",4.3016,0.1524,0.0,8.248,0.6511,0.3312,0.0,0.0,0.1905
ViT5-base,non-RAG,17,False,Nam Ossetia sống trong cảnh hòa bình đến năm nào?,2004,"question: Điều gì đã xảy ra vào tháng 6 năm 2004? answer: Những vụ bắt cóc con tin, bắn giết và thỉnh thoảng cả đánh bom đã khiến hàng chục người thiệt mạng và bị thương","question: Điều gì đã xảy ra vào tháng 6 năm 2004? answer: những vụ bắt cóc con tin, bắn giết và thỉnh thoảng cả đánh bom",2.2303,0.1739,0.0,14.8487,0.6214,0.2552,0.0,0.0,0.0526
ViT5-base,non-RAG,18,False,Có những thứ gì liên quan đến thần học?,"Bất cứ thắc mắc hay câu hỏi có liên quan đến những điều thiêng liêng như thần linh, ma quỷ, thiên đàng, hỏa ngục","question: Thần học là gì? answer: tìm hiểu, suy tư về các vấn đề siêu nhiên và thiêng liêng bằng phương diện đức tin","question: Thần học được sử dụng để làm gì? answer: lưu truyền, phục dựng, biện minh cho 1 truyền thống tôn giáo hoặc nó có thể được dùng để so sánh, thách thức hay chống lại 1 truyền thống tôn giáo",2.531,0.2449,0.0,21.6151,0.6725,0.7863,0.0,0.0,0.2574
ViT5-base,non-RAG,19,False,"Trước khi trở thành vợ của Fraklin Delano Roosevelt, Anna Eleanor Roosevelt và Fraklin có mối quan hệ đặc biệt gì?",Cả hai đều là hậu duệ của một người Hà Lan tên Claes Martensz van Rosenvelt (Roosevelt) đến vùng đất New Amsterdam (nay là Manhattan của thành phố New York) từ Hà Lan trong thập niên 1640,question: Franklin gặp vợ tương lai của mình vào thời gian nào? answer: Năm 1902,question: Franklin gặp vợ tương lai của mình vào thời gian nào? answer: Năm 1902,1.4143,0.2041,0.0,14.2076,0.6484,0.5616,0.0,0.0,0.2
ViT5-base,non-RAG,20,False,"Cuộc bầu cử tổng thống Hoa Kỳ năm 2008, ai là người đã dành chiến thắng tại Texas?",John McCain,"question: Năm 2000 và 2004, ai giành chiến thắng tại Texas? answer: John McCain","question: Năm 2000 và 2004, ai giành chiến thắng tại Texas? answer: John McCain",1.8943,0.4783,0.2069,40.0937,0.7669,0.8395,0.0,0.0,0.1905
ViT5-base,non-RAG,21,False,Tổng thống Roosevelt đã có những thành tựu gì trong sự nghiệp chính trị của mình?,"Là tổng thống Hoa Kỳ duy nhất được bầu hơn hai nhiệm kỳ, ông tạo ra một liên minh bền vững giúp tái tổ chức nền chính trị Hoa Kỳ trong nhiều thập niên",question: Ai là người lãnh đạo Hoa Kỳ trong Chiến tranh thế giới thứ hai? answer: Herbert Hoover,question: Franklin Delano Roosevelt là ai? answer: một khuôn mặt trung tâm của các sự kiện thế giới trong giữa thế kỷ XX,1.5445,0.1304,0.0,15.1835,0.6664,0.4848,0.0,0.0,0.2588
ViT5-base,non-RAG,22,False,Hòa ước Westfalen được viết năm nào?,năm 1648,question: Hậu quả của Hòa ước Westfalen là gì? answer: gây tai hại cho tương lai nước Đức ngang bằng với thiệt hại từ cuộc chiến,question: Hậu quả của Hòa ước Westfalen là gì? answer: gây tai hại cho tương lai nước Đức ngang bằng với thiệt hại từ cuộc chiến,1.8199,0.28,0.0,34.0862,0.7129,0.4593,0.0,0.0,0.0476
ViT5-base,non-RAG,23,False,"Tại Mông Cổ, ngoài người Khalkha thì còn có những ai?","Buryat, Durbet Mông Cổ và các nhóm khác ở phía bắc và Dariganga Mông Cổ",question: Người Turk chiếm bao nhiêu phần trăm dân số Mông Cổ? answer: 90%,question: Người Turk chiếm bao nhiêu phần trăm dân số Mông Cổ? answer: 90%,1.363,0.2105,0.0,18.6161,0.6987,0.6524,0.0,0.0,0.2857
ViT5-base,non-RAG,24,False,"Vì sao những người theo quốc hội chống lại vua được gọi là ""kẻ đầu tròn""?",họ cắt tóc thật sát,"question: Vì sao các ""kẻ đầu tròn"" được gọi là ""kẻ đầu tròn""? answer: vì họ cắt tóc thật sát","question: Vì sao các ""kẻ đầu tròn"" được gọi là ""kẻ đầu tròn""? answer: vì họ cắt tóc thật sát",2.091,0.4231,0.3152,40.9626,0.7828,0.3575,0.0,0.0,0.4865
ViT5-base,non-RAG,25,False,Sau sự kiện gì thì A Nhĩ Thản Hãn quyết định đưa phật giáo Tây Tạng đến Mông Cổ?,A Nhĩ Thản Hãn gặp Đạt Lai Lạt Ma vào năm 1578,"question: Sau khi A Nhĩ Thản Hãn gặp Đạt Lai Lạt Ma, ông đã làm gì? answer: ông ra lệnh truyền Phật giáo Tây Tạng đến Mông Cổ","question: Sau khi A Nhĩ Thản Hãn gặp Đạt Lai Lạt Ma, ông đã làm gì? answer: ông ra lệnh truyền Phật giáo Tây Tạng đến Mông Cổ",2.2387,0.6269,0.2319,50.8785,0.8169,0.7941,0.0,0.0,0.5614
ViT5-base,non-RAG,26,False,Gandhi yêu cầu điều gì để ủng hộ người Anh trong cuộc chiến?,họ cho ông thấy cách áp dụng mục đích của cuộc chiến tại Ấn Độ sau chiến tranh,question: Mục đích của cuộc chiến tranh thế giới thứ hai là gì? answer: giành tự do dân chủ trong khi chính tự do dân chủ này bị phủ nhận tại Ấn Độ,question: Ấn Độ không thể tham gia một cuộc chiến với mục đích bề ngoài là gì? answer: giành tự do dân chủ trong khi chính tự do dân chủ này bị phủ nhận tại Ấn Độ,2.2395,0.1613,0.0,23.3062,0.7099,0.4679,0.0,0.0,0.2667
ViT5-base,non-RAG,27,False,Lượng mưa trung bình tại cực tây của Texas là bao nhiêu mm?,220 mm,question: Texas có đặc điểm khí hậu như thế nào? answer: có diện tích rộng lớn và có vị trí nằm tại nơi giao nhau của nhiều vùng khí hậu,question: Texas có đặc điểm khí hậu như thế nào? answer: có diện tích rộng lớn và có vị trí nằm tại nơi giao nhau của nhiều vùng khí hậu,2.0394,0.2769,0.0,18.5902,0.6468,0.588,0.0,0.0,0.0
ViT5-base,non-RAG,28,False,Những nhà thờ Công giáo Rôma dược gọi là gì?,plaza,question: Tôn giáo nào lâu đời nhất tại Puerto Rico? answer: Công giáo Rôma,question: Tôn giáo nào lâu đời nhất tại Puerto Rico? answer: Công giáo Rôma,1.438,0.359,0.0,30.301,0.7061,0.5961,0.0,0.0,0.0
ViT5-base,non-RAG,29,False,Theo như Văn phòng Giải trình Chính phủ báo cáo thì có bao nhiêu chất độc ảnh hưởng đến sinh nở đã tiếp xúc với các binh lính?,21,"question: Có bao nhiêu loại ""chất độc liên quan tới sinh sản"" tiềm tàng? answer: 21","question: Có bao nhiêu loại ""chất độc liên quan tới sinh sản"" tiềm tàng? answer: 21",2.2071,0.3333,0.0,19.33,0.7247,0.4555,0.0,0.0,0.08
ViT5-base,non-RAG,30,False,Ai đã thay Louis XIV điều hành Paris?,Jean-Baptiste,"question: Vào năm 1715, công tước Philippe II rời Versailles về đâu? answer: Palais-Royal trong Paris","question: Vào năm 1715, công tước Philippe II rời Versailles về đâu? answer: Palais-Royal trong Paris",1.6638,0.1935,0.0,13.9755,0.7252,0.7293,0.0,0.0,0.0
ViT5-base,non-RAG,31,False,Sự bất cập trong việc truyền thông tin từ Washington đến các đảo Hawaii là gì?,"thông điệp này không được đánh dấu ""khẩn cấp"" nào vì thế nó được gửi đi theo thứ tự nhận được như các thông điệp khác",question: Vì sao thông điệp được gửi đến các tư lệnh Lục quân và Hải quân Hoa Kỳ tại Hawaii không được nhận đúng lúc? answer: vì lỗi của bộ máy hành chính,question: Vì sao thông điệp được gửi đến các tư lệnh Lục quân và Hải quân Hoa Kỳ tại Hawaii không được nhận đúng lúc? answer: vì lỗi của bộ máy hành chính,2.4165,0.2192,0.0,22.5823,0.7085,0.5574,0.0,0.0,0.3736
ViT5-base,non-RAG,32,False,Hai nước có mối thù lớn nhất trong đế quốc là nước nào?,Phổ và Áo,"question: Vào ngày 16 tháng 12 năm 1740, vua nước Phổ đã làm gì? answer: kéo 27 nghìn quân rời khỏi xứ Brandenburg đi đánh tỉnh Silesia của Vương triều Habsburg","question: Vào ngày 16 tháng 12 năm 1740, vua nước Phổ đã làm gì? answer: kéo 27 nghìn quân rời khỏi xứ Brandenburg đi đánh tỉnh Silesia của Vương triều Habsburg",2.6306,0.2188,0.0,13.9005,0.6586,0.2576,0.0,0.0,0.0833
ViT5-base,non-RAG,33,False,Mông Cổ đã có động thái như thế nào trước sự biến động tại Đông Âu và Liên Xô?,tiến hành cách mạng dân chủ hòa bình vào đầu năm 1990,question: Người Mãn lập ra Mông Cổ vào thời gian nào? answer: năm 1911,question: Người Mãn lập ra Mông Cổ vào thời gian nào? answer: năm 1911,1.4413,0.3404,0.0,15.0887,0.7049,0.6672,0.0,0.0,0.3256
ViT5-base,non-RAG,34,False,"Trong Thế chiến I, tầng lớp nào ở Puerto Rico cùng với quân đội Mỹ chiến đấu?",thanh niên,question: Đạo luật Jones-Shafroth trao quyền công dân Mỹ cho người Puerto Rico vào năm nào? answer: năm 1917,question: Đạo luật Jones-Shafroth trao quyền công dân Mỹ cho người Puerto Rico vào năm nào? answer: năm 1917,2.0083,0.3396,0.0,23.1633,0.6917,0.6448,0.0,0.0,0.0625
ViT5-base,non-RAG,35,False,Hiện tại ngành nào chiếm vai trò lớn trong nông nghiệp?,ngành chăn nuôi lấy sản phẩm từ thịt và sữa,"question: Năm 2007, Puerto Rico đón tiếp bao nhiêu lượt du khách? answer: 5,9 triệu lượt du khách","question: Năm 2007, Puerto Rico đón tiếp bao nhiêu lượt du khách? answer: 5,9 triệu lượt du khách",1.6866,0.1739,0.0,11.2683,0.6277,-0.0006,0.0,0.0,0.1778
ViT5-base,non-RAG,36,False,Khó khăn mà New Deal lần thứ hai phải đối mặt đó là gì?,cộng đồng thương mại,question: Liên đoàn Tự do Mỹ được thành lập vào năm nào? answer: 1933,question: Liên đoàn Tự do Mỹ được thành lập vào năm nào? answer: 1933,1.3537,0.2632,0.0,8.193,0.6533,0.2632,0.0,0.0,0.2143
ViT5-base,non-RAG,37,False,Các quốc gia nào có số dân di cư đến Canada nhiều nhất?,Nam Á,question: Dân số thổ dân của Canada tăng trưởng như thế nào? answer: tăng trưởng gần gấp hai lần tỷ lệ bình quân toàn quốc,question: Dân số thổ dân của Canada tăng trưởng như thế nào? answer: tăng trưởng gần gấp hai lần tỷ lệ bình quân toàn quốc,1.6609,0.2712,0.0,20.7192,0.6986,0.6444,0.0,0.0,0.0
ViT5-base,non-RAG,38,False,Penn và Teller đã tấn công Gandhi thông qua chương trình gì?,"""Bullshit!"" (""Holier than Thou"")","question: Penn và Teller đã phê phán Gandhi như thế nào? answer: cái nhìn của ông về Adolf Hitler và Chủ nghĩa Đức Quốc Xã, bao gồm những lời trần thuật là người Do Thái có thể đạt được tình thương của Thượng đế nếu họ sẵn lòng đi đến cái chết như những cảm tử chết vì nghĩa","question: Penn và Teller đã phê phán Gandhi như thế nào? answer: cái nhìn của ông về Adolf Hitler và Chủ nghĩa Đức Quốc Xã, bao gồm những lời trần thuật là người Do Thái có thể đạt được tình thương của Thượng đế nếu họ sẵn lòng đi đến cái chết như những cảm tử chết vì nghĩa",3.6809,0.22,0.0398,28.8971,0.7438,0.6401,0.0,0.0,0.0
ViT5-base,non-RAG,39,False,Hofburg là tên gọi của thứ gì?,Trong các gian phòng và các hành lang của cung điện cổ,"question: Khi Hoàng đế và gia đình ông đi qua, triều thần phải làm gì? answer: cúi đầu thật thấp và quỳ một gối xuống","question: Khi Hoàng đế và gia đình ông đi qua, triều thần phải làm gì? answer: cúi đầu thật thấp và quỳ một gối xuống",1.8377,0.2222,0.0,11.1203,0.6518,0.1365,0.0,0.0,0.2264
ViT5-base,non-RAG,40,False,Gandhi đã tranh luận rất dai dẳng với ai?,Rabindranath Tagore,"question: Vì sao Gandhi phản đối lập trường của Gandhi? answer: tội lỗi của những môn đồ Ấn giáo thuộc giai cấp cao, vì họ không cho những kẻ ti tiện vào đền thờ","question: Vì sao Tagore phản đối lập trường của Gandhi? answer: tội lỗi của những môn đồ Ấn giáo thuộc giai cấp cao, vì họ không cho những kẻ ti tiện vào đền thờ",2.4856,0.1639,0.0,17.2899,0.6744,0.638,0.0,0.0,0.0392
ViT5-base,non-RAG,41,False,Khi nào dự án tiêm vắc-xin miễn phí cho các nước đang phát triển được triển khai?,tháng 2 năm 2007,"question: Dự án 1,5 tỷ đô la Mỹ có mục đích gì? answer: giúp đỡ phát triển vắc-xin cho các quốc gia đang phát triển","question: Dự án 1,5 tỷ đô la Mỹ có mục đích gì? answer: giúp đỡ phát triển vắc-xin cho các quốc gia đang phát triển",1.9255,0.4918,0.0,37.4667,0.7473,0.7486,0.0,0.0,0.1
ViT5-base,non-RAG,42,False,Người khổng lồ là danh hiệu dành cho ai ở môn đô vật?,avarga,question: Những danh hiệu cổ nào được thêm vào danh hiệu vật? answer: iarudi và Khartsaga (Chim ưng),question: Những danh hiệu cổ nào được thêm vào các danh hiệu vật? answer: iarudi và Khartsaga (Chim ưng),1.7251,0.3333,0.0,23.5193,0.6749,0.4442,0.0,0.0,0.0
ViT5-base,non-RAG,43,False,Ai là người đã chọn Paris làm thủ đô cho nước Pháp?,Clovis I,"question: Sau Công xã Paris, Paris trở thành thủ đô của vương quốc nào? answer: vương quốc Franc","question: Sau Công xã Paris, Paris trở thành thủ đô của vương quốc nào? answer: vương quốc Franc",1.484,0.25,0.0,20.3249,0.7355,0.8307,0.0,0.0,0.0
ViT5-base,non-RAG,44,False,Vì sao các học giả hậu thực dân phản đối Gandhi (1982)?,"Họ luận cứ là bộ phim miêu tả Gandhi như một người dùng một tay đưa Ấn Độ đến sự độc lập và bỏ qua những nhân vật quan trọng khác (của cả hai nhóm, tinh duệ và cấp dưới) trong cuộc kháng chiến chống thực dân",question: Bộ phim The Making of the Mahatma do ai đạo diễn? answer: Richard Attenborough và diễn viên Ben Kingsley,question: Bộ phim The Making of the Mahatma do ai đạo diễn? answer: Richard Attenborough và diễn viên Ben Kingsley,1.9715,0.1463,0.0,8.9465,0.6377,0.3693,0.0,0.0,0.1319
ViT5-base,non-RAG,45,False,Sự việc gì chứng tỏ nhân dân Pháp đến từ nhiều nơi và đa tôn giáo?,"Theo cuộc điều tra năm 2011, có 23,1% dân số của thành phố sinh ngoài lãnh thổ chính quốc Pháp","question: Theo cuộc điều tra năm 2011, có bao nhiêu phần trăm dân số của thành phố sinh ngoài lãnh thổ chính quốc Pháp? answer: 23,1%","question: Theo cuộc điều tra năm 2011, có bao nhiêu phần trăm dân số của thành phố sinh ngoài lãnh thổ chính quốc Pháp? answer: 23,1%",2.0915,0.1818,0.0,14.5419,0.6565,0.5662,0.0,0.0,0.8219
ViT5-base,non-RAG,46,False,Năm 2011 thì nền kinh tế tại Nouvelle-Calédonie có GDP là bao nhiêu?,"9,89 tỷ USD",question: GDP bình quân của Nouvelle-Calédonie là bao nhiêu? answer: 38.921 USD,question: GDP danh nghĩa bình quân của Nouvelle-Calédonie là bao nhiêu? answer: 38.921 USD,1.756,0.4211,0.1821,47.9543,0.8057,0.8671,0.0,0.0,0.0769
ViT5-base,non-RAG,47,False,Bộ phim Gandhi (1982) được ai đạo diễn?,Richard Attenborough,question: Bộ phim The Making of the Mahatma do ai đạo diễn? answer: Richard Attenborough và diễn viên Ben Kingsley,question: Bộ phim The Making of the Mahatma do ai đạo diễn? answer: Richard Attenborough và diễn viên Ben Kingsley,2.2905,0.375,0.1226,28.4758,0.7159,0.6463,0.0,0.0,0.16
ViT5-base,non-RAG,48,False,Gà sao có thể dễ mắc bệnh nguy hiểm nào?,bệnh nấm mỏ két,"question: Tỷ lệ sống bình quân của gà sao là bao nhiêu? answer: 95,6%","question: Tỷ lệ sống bình quân của gà sao là bao nhiêu? answer: 95,6%",1.3664,0.1765,0.0,13.1393,0.638,0.1922,0.0,0.0,0.2222
ViT5-base,non-RAG,49,False,Vì sao mà quốc hội phản đối các quyết đinh của nhà vua để có tiền chi phí cho chiến tranh?,các chính sách này vi phạm đến các tự do hiến định của nhân dân,question: Điều gì đã khiến cho các vị lãnh đạo quốc hội Anh phản đối? answer: các chính sách này vi phạm đến các tự do hiến định của nhân dân,question: Điều gì đã khiến cho các vị lãnh đạo quốc hội Anh phản đối? answer: các chính sách này vi phạm đến các tự do hiến định của nhân dân,2.7308,0.4267,0.0,32.9338,0.7193,0.5054,0.0,0.0,0.6944
ViT5-base,non-RAG,50,False,Trước khi vua Ferdinand VII nắm trong tay quyền điều hành thì đảo Peurto Rico có được quyền lợi gì từ Uỷ ban Trung ương tối cao tại Cadiz?,gửi đại diện đến quốc hội Tây Ban Nha,question: Puerto Rico được công nhận là một tỉnh hải ngoại của Tây Ban Nha vào năm nào? answer: Năm 1809,question: Puerto Rico được công nhận là một tỉnh hải ngoại của Tây Ban Nha vào năm nào? answer: Năm 1809,1.6202,0.2535,0.0,15.3793,0.652,0.6535,0.0,0.0,0.2979
ViT5-base,non-RAG,51,False,Nhiệm vụ của cơ quan tư pháp của Canada là gì?,giải thích các pháp luật và có quyền phủ định các đạo luật của nghị viện nếu chúng vi hiến,question: Chánh án Richard Wagner là ai? answer: Chánh án Richard Wagner,question: Chánh án Richard Wagner là ai? answer: Chánh án Richard Wagner,1.3477,0.069,0.0,11.0163,0.6807,0.2181,0.0,0.0,0.2128
ViT5-base,non-RAG,52,False,Tuổi thọ của một con gà bình thường cỡ bao nhiêu năm?,khoảng sáu năm,question: Gà được thuần hóa từ đâu? answer: gà rừng,question: Gà nhà được thuần hóa từ đâu? answer: gà rừng,1.0358,0.3125,0.0,10.3659,0.6227,0.3367,0.0,0.0,0.1
ViT5-base,non-RAG,53,False,Tốc độ tăng trưởng dân số của thổ dân Canada gấp mấy lần so với tốc độ tăng trưởng bình quân của Canada?,gần gấp hai lần,question: Dân số thổ dân của Canada tăng trưởng như thế nào? answer: tăng trưởng gần gấp hai lần tỷ lệ bình quân toàn quốc,question: Dân số thổ dân của Canada tăng trưởng như thế nào? answer: tăng trưởng gần gấp hai lần tỷ lệ bình quân toàn quốc,1.7212,0.4416,0.0,45.6067,0.7993,0.9247,0.0,0.0,0.2979
ViT5-base,non-RAG,54,False,Lực lượng gìn giữ hòa bình bị Gruzia xem như thế nào?,không trung lập,question: Chính phủ Gruzia phản đối điều gì? answer: sự liên tục tăng cường hiện diện về kinh tế và chính trị của Nga trong vùng và phản đối quân đội không bị kiểm soát của phía Nam Ossetia,question: Chính phủ Gruzia phản đối điều gì? answer: sự liên tục tăng cường hiện diện về kinh tế và chính trị của Nga trong vùng và phản đối quân đội không bị kiểm soát của phía Nam Ossetia,2.6901,0.1316,0.0,14.545,0.7176,0.6024,0.0,0.0,0.0635
